Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue,Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder,Relationship Status,Lifetime Value,Priority
Qatar Cinema and Film Distribution Company,Q-QCinema,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,"Importing and distributing films, operating movie theaters, and investing in real estate and other sectors.","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,5 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Development Bank,Q-QDB,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"Meant to sponsor investment project and finance support for Qataris, Small and Medium Enterprises - not a commercial bank.","Doha, Qatar",0,Independent,Unlisted,Not Applicable,200 Million $,BRONZE (100-500M $),330 Employees,40 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar District Cooling Company ,Q-QCool,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Utilities,District Cooling Company - created for providing service to Pearl Qatar - Subsidiary of UDC.,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),170 Employees,10 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Electricity & Water Company,Q-QEWC,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Power,Owns power generation plants -  supplies 55% of the nation’s electricity and 73% of its desalinated water,"Doha, Qatar",0,Publicly Listed,Listed,4.62 Billion $,820 Million $,SILVER (500-1B$),920 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Electricity and Water Corporation,Q-Kahramaa,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Power,Water and Electricity,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,Unknown,SILVER (500-1B$),3000 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Fertiliser Company,Q-QAFCO,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,QAFCO - Leading Fertiliser firm based in Messaieed - 14% of global Urea,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,4 Billion $,GOLD (1-10B $),"1,400 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Financial Centre ,Q-QFC,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,"Provides legal, regulatory, tax, and business establishment for companies seeking to establish a presence in Qatar","Doha, Qatar",0,Independent,Unlisted,Not Applicable,35 Million $,NICKEL (20M-50M $),250+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Financial Centre Authority,Q-QFCA,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,QFCA is the governing body responsible for regulating and managing QFC,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Financial Centre Regulatory Authority,Q-QFCRA,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,Independent regulatory body overseeing financial services within the Qatar Financial Centre,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Financial Markets Authority,Q-QFMA,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,QFMA - Regulatory body under Qatar Central Bank - oversight and enforcement over the capital markets.  ,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,Not Applicable,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Football Association,Q-QFA,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,"Governing body for football  - oversees development of football activities, management of national teams and domestic competitions","Doha, Qatar",0,Independent,Unlisted,Not Applicable,140 Million $,BRONZE (100-500M $),650+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Foundation for Elderly People Care ,Q-Ehsan,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Others,"Ehsan  - Falls under MSDF - Elderly Care - One of 7 entities Wifaq, Dreama, Nama, Ehsan, Aman, Alnoor, QSW","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Not Applicable,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Free Zone Authority,Q-QFZA,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,QFZA - oversees and regulates free zones in Qatar,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Fund For Development ,Q-QFFD,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,Govt Fund for coordinating and implementing foreign aid and international development projects on behalf of Qatar,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,20 Million $,LEAD (0-20M),20 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar General Insurance and Reinsurance Company,Q-QGIRCO,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,"Insurance and reinsurance products -  general insurance, Takaful (Islamic insurance), real estate, and investment management","Doha, Qatar",0,Publicly Listed,Listed,1 Billion $,150 Million $,BRONZE (100-500M $),380 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar General Organization for Standardization,Q-QGOS,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,Qatar Body for Standardisation,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Not Applicable,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar German Medical Devices,Q-QGMD,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Medical Device,Prominent manufacturer and distributor of medical devices - produces single-use disposable syringes and other consumables. ,"Doha, Qatar",0,Publicly Listed,Listed,42 Million $,8 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Industrial Manufacturing Company ,Q-QIMC,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Chemical, Construction, Food Processing, Paper Products, Pipes and Fittings.","Doha, Qatar",0,Publicly Listed,Listed,330 Million $,130 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Insurance Company,Q-QIC,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,Leading Insurance Firm of Middle East - Personal as well as Business Insurance.,"Doha, Qatar",0,Publicly Listed,Listed,1.8 Million $,2 Billion $,GOLD (1-10B $),200+ Employees,30+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar International Islamic Bank,Q-QIIB,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,Sharia-compliant bank - Corporate and Personel banking,"Doha, Qatar",0,Publicly Listed,Listed,4.48 Billion $,960 Million $,SILVER (500-1B$),260+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Investments Authority,Q-QIA,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,Sovereign wealth fund of the State of Qatar - One of the largest with 550 billion in assets. ,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,150 Million $,BRONZE (100-500M $),540+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Investors Group ,Q-QIG,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Investment Company,"Real Estate, Marine services, Industrial, Contracting and Technology, Trading","Doha, Qatar",0,Independent,Unlisted,570 Million $,130 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Islamic Bank,Q-QIB,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"2nd Largest bank in terms of Assets - Sharia Compliant Retail, Corporate, Investment and Treasury, Digital","Doha, Qatar",0,Publicly Listed,Listed,13 Billion $,1 Billion $,GOLD (1-10B $),990+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Islamic Insurance Company,Q-QIIC,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,leading provider of Sharia-compliant insurance solutions in Qatar. ,"Doha, Qatar",0,Publicly Listed,Listed,340 Million $,120 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Leadership Center,Q-QLeadCenter,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,Identifying and nurturing Qataris with promising leadership and administrative talents across government and private sectors.,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Unknown,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Life and Medical insurance company,Q-QLM,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,Leading life and medical insurance provider in Qatar,"Doha, Qatar",0,Publicly Listed,Listed,196 Million $,340 Million $,BRONZE (100-500M $),200+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Media Corporation,Q-QMA,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Media,Official Broadcasting Authority of the State of Qatar - Television and Radio,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,4 Million $,LEAD (0-20M),300+ Employees,5+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Mining Company,Q-QMining,13/02/25,Praveen Gangadhar,M&M : Materials and Mining,Others,Owned by the state - investments in the mining and metals sector,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,50 Million $,COPPER (50M-100M $),1500+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Museums,Q-QMuseums,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,Wholly owned by the state - all museums fall under them,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,55 Million $,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Music Academy,Q-QMA,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,Music Institution based our of Katara Cultural Village,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,5 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar National Bank,Q-QNB,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Banking,"1st and largest Bank in terms of Assets - Retail, Corporate, Treasury and Investments, Islamic, Wealth and Private banking","Doha, Qatar",0,Publicly Listed,Listed,40 Billion $,11 Billion $,PLATINUM (10B$ +),"30,000 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar National Broadband Network,Q-QNBN,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Others,Government-owned entity dedicated to developing Qatar’s fiber-optic broadband infrastructure.,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,35 Million $,NICKEL (20M-50M $),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar National Cement Company,Q-QNCC,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Manufacturing,Major producer of construction materials,"Doha, Qatar",0,Publicly Listed,Listed,640 Million $,100 Million $,BRONZE (100-500M $),"1,300+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar News Agency,Q-QNA,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Media,State run News Agency of Qatar,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,15 Million $,LEAD (0-20M),160 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Olympic Committee,Q-QOlymC,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Government Body,Qatars National Olympic Committee,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,37 Million $,NICKEL (20M-50M $),500+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Oman Investment Company ,Q-QOIC,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Investment Company,"Joint Government Investment vehicle in Oman and Qatar - industrial, commercial, agricultural, real estate, tourist, and service projects","Doha, Qatar",0,Publicly Listed,Listed,60 Million $,1.5 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Petrochemical Company,Q-QAPCO,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,"Leading producer of low-density polyethylene (LDPE), a versatile plastic polymer ","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,550 Million $,SILVER (500-1B$),"1,200+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Ports Management Company,Q-Mwani,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Ports,"State Owned - Manages and operates Qatar’s seaports and shipping terminals - including Hamad Port, Doha Port, and Al Ruwais Port","Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,50 Million $,NICKEL (20M-50M $),340+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Post,Q-QPost,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Logistics and Warehousing,National Postal Service Provider,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),1000+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Primary Materials Company,Q-QPMC,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Others,"Government Owned - Imports limestone, washed sand, and dune sand. ","Doha, Qatar",0,Government Body,Unlisted,Not Applicable,140 Million $,BRONZE (100-500M $),700+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Racing Club,Q-QRacing,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Others,Premier destination for motorsport enthusiasts in the Middle East. ,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,4 Million $,LEAD (0-20M),50+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Railways Company,Q-QRail,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Metro and Rail,Qatar Metro - Lusail Tram - Planned Long Distance Passenger and Freight Rail that would connect with GCC rail,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,3.8 Million $,LEAD (0-20M),"4,000+ Employees",30+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Red Crescent,Q-RedCrescent,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,NGO,Leading Charity Organisation of Qatar,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,70 Million $,COPPER (50M-100M $),Unknown,10 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Stars League,Q-QSL,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Entertainment,Also Ooredoo Stars League - serves as the professional football League of Qatar. ,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,26 Million $,NICKEL (20M-50M $),125+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Steel,Q-QSteel,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Others,First integrated steel plant in the Arabian Gulf region - based in messaieed ,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,1.6 Billion $,GOLD (1-10B $),"1,800+ Employees",50+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Stock Exchange,Q-QSE,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Stocks and Exchanges,Only Stock Exchange of Qatar,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,70 Million $,COPPER (50M-100M $),100+ Employees,20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Terminals,Q-Qterminals,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Ports,leading terminal operating company in Qatar - owned by Mwani and Milaha,"Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,35 Million $,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar Tourism Authority,Q-QTourism,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Travel and Tourism,Visit Qatar - hayya is managed by them,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,21 Million ,NICKEL (20M-50M $),145+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatar University,Q-QUniv,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,Main University of Qatar,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,2.5 Billion $,GOLD (1-10B $),"10,000+ Employees",20+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
QatarEnergy,Q-Energy,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,Formerly Qatar Petroleum - Mainly Petroleum,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,52 Billion $,PLATINUM (10B$ +),"10,000+ Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
QatarEnergy LNG,Q-EnergyLNG,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,Formerly Qatargas - Mainly Gas,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,750 Million $,SILVER (500-1B$),"7,200 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Qatari Diar,Q-QatariDiar,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Real Estate,State Owned - Lusail City is their subsidiary,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,955 Million $,SILVER (500-1B$),380+ Employees,10+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
QInvest LLC,Q-Qinvest,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",NBFC - Non Banking Financial Company,Qatar’s leading private investment bank - Owned by QIB.,"Doha, Qatar",0,Independent,Unlisted,Not Applicable,85 Million $,COPPER (50M-100M $),100+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
QPlastics Factory,Q-QPlastic,13/02/25,Praveen Gangadhar,MAN&I : Manufacturing and Industrials,Others,"Leading plastic products manufacturing company in Qatar, specializing in liquid chemical packaging solutions","Doha, Qatar",0,Privately Held,Unlisted,Not Applicable,5 Million $,LEAD (0-20M),220 Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Ras Laffan Power Company,Q-RLPC,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Power,Ras Laffan based power and water production facility in Qatar.,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,110 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Regulatory Authority for Charitable Activities,Q-RACA,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Regulatory Body,Oversees and monitors charitable organizations and activities in Qatar,"Doha, Qatar",0,Semi Government,Unlisted,Not Applicable,Unknown,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
RKH Qitarat,Q-RKH,13/02/25,Praveen Gangadhar,"LT&T : Logistics, Travel and Transport",Metro and Rail,"Responsible for the operation and maintenance of Qatar’s urban rail networks, specifically Doha Metro and Lusail Tram.","Doha, Qatar",0,Independent,Unlisted,Not Applicable,225 Million $,BRONZE (100-500M $),"1,150 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Salam International,Q-SalamInter,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Multibusiness,"Construction & Development, Energy, Technology and Communications, Luxury and Consumer Products, Investment and Real Estate","Doha, Qatar",0,Publicly Listed,Listed,800 Million $,450 Million $,BRONZE (100-500M $),"1,120 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Seib Insurance,Q-Seib,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,"Qatari insurance provider, offering a comprehensive range of personal and corporate insurance solutions","Doha, Qatar",0,Privately Held,Unlisted,Not Applicable,85 Million $,COPPER (50M-100M $),90+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Sharq Insurance,Q-SharqIn,13/02/25,Praveen Gangadhar,"BFSI : Banking, financial services and Insurance ",Insurance,"Formerly known as Doha Bank Assurance Company (DBAC), is a general insurance provider wholly owned by Doha Bank","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,100 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Sidra Medicine,Q-Sidra,13/02/25,Praveen Gangadhar,HCLS : Healthcare and Life Sciences,Hospitals -  100+ Beds,"400 bed+ Healthcare Service Provider - under Qatar Foundation - 2020 Outpatient :  245,000+ / Inpatient : 9,400+ / Surgical Procedures: 7,800+","Doha, Qatar",0,Independent,Unlisted,Not Applicable,750 Million $,SILVER (500-1B$),"3,400 Employees",Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Social Development Center,Q-Nama,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Others,"Under MSDF - Opportunities for Young Skill Development - One of 7 entities Wifaq, Dreama, Nama, Ehsan, Aman, Alnoor, QSW","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Not Applicable,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Starlink ,Q-Starlink,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Technology,"Ooredoo Subsidiary - retail and one of the largest outsource-managed services provider in : IT, installations, maintenance and contact centers.","Doha, Qatar",0,Subsidiary,Unlisted,Not Applicable,25 Million $,NICKEL (20M-50M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
State Audit Bureau,Q-SAB,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,"Financial Oversight, Regulatory Compliance and Performance Audits for key government entities","Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Unknown,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Supreme Committee For Delivery and Legacy,Q-SCDL,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,Government Body Football and Legacy of WorldCup - To be wound down eventually.,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Unknown,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Supreme Judiciary Council,Q-SJC,13/02/25,Praveen Gangadhar,PSG : Public Sector and Government,Government Body,Highest Judicial Authority of Qatar,"Doha, Qatar",0,Government Body,Unlisted,Not Applicable,Unknown,COPPER (50M-100M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Tadmur Holding,Q-Tadmur,13/02/25,Praveen Gangadhar,MIC : Multi Industry Conglomorate,Multibusiness,"Contracting, manufacturing, Facility Management, FMCG, Trading","Doha, Qatar",0,Family Owned,Unlisted,Not Applicable,20 Million $,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
The Center for Children with Special Needs,Q-Shafallah,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Others,Shafallah - Part of Qatar Social Works - Children with Special Needs,"Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,Unknown,LEAD (0-20M),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
United Development Company,Q-UDC,13/02/25,Praveen Gangadhar,REC : Real Estate and Construction,Real Estate,Owns Pearl Qatar and Gewan Island,"Doha, Qatar",0,Publicly Listed,Listed,1 Billion $,550 Million $,SILVER (500-1B$),300+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Vodafone,Q-Vodafone,13/02/25,Praveen Gangadhar,"TMET : Telcom, Media, Entertainment and Technology",Telecommunication,"Second Telecom Player of Qatar - mobile, fixed-line, broadband, and enterprise solutions","Doha, Qatar",0,Publicly Listed,Listed,2.4 Billion $,880 Million $,SILVER (500-1B$),Unknown,40+ Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Waqod ,Q-Woqod,13/02/25,Praveen Gangadhar,EUR : Energy Utility and Resources,Oil and Gas,"Qatar Fuel Company, primary fuel distribution and marketing services company in Qatar","Doha, Qatar",0,Semi Government,Unlisted,4 Billion $,7 Billion $,GOLD (1-10B $),880+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Weill Cornell Medicine - Qatar,Q-WeilCorn,13/02/25,Praveen Gangadhar,NP&S : Not Profit and Services,Universities & Education,"Branch of Weill Cornell Medicine in New York - premier medical institution located in Education City, Doha.","Doha, Qatar",0,NGO / Foundation / Not For Profit,Unlisted,Not Applicable,120 Million $,BRONZE (100-500M $),Unknown,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Widam Food,Q-Widam,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,Food & Beverages,"Qatar’s leading meat provider, specializing in the import and trade of livestock, meat, and animal feed.","Doha, Qatar",0,Publicly Listed,Listed,114 Million $,175 Million $,BRONZE (100-500M $),290+ Employees,5 Employees,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
Zad Holding,Q-Zad,13/02/25,Praveen Gangadhar,CGR : Consumer Goods and Retail,Food & Beverages,"Into food processing - Mills, Food and Bakery","Doha, Qatar",0,Publicly Listed,Listed,1.18 Billion $,420 Million $,BRONZE (100-500M $),1000+ Employees,Unknown,Praveen Gangadhar,Praveen Gangadhar,No relationship exists,0,Low
